Time,Obedience,Obedience Error,Opt Order,Opt Order Error,Advantage,Advantage Error,Maximum Advantage,Maximum Advantage Error
0.0,0.9962,0.00087012183055016,0.1504,0.005055291089541457,-0.0003739086868090103,0.0015713928069739432,3.880972376541431,0.04547011412212182
10.0,0.3844,0.0068794860273131905,0.16,0.0051845925587264904,0.5652603096378356,0.04610216398741397,3.7957785438931837,0.045496937757120305
20.0,0.2664,0.006251896352307663,0.1586,0.005166159889124788,1.0085454362612267,0.051539611172096454,3.848362605645441,0.0459696440725135
30.0,0.2402,0.006041588532828016,0.1572,0.005147585064863046,1.277790978834558,0.0522832455917594,3.8119334312708126,0.04552034683404123
40.0,0.221,0.005867861620727095,0.1552,0.005120799937509823,1.5536115111760547,0.05195712902120365,3.859261904135048,0.04602739061287461
50.0,0.219,0.005848743454794214,0.1606,0.00519244913311628,1.6885184327620708,0.05243405186878991,3.7504432326151784,0.04554683128400598
60.0,0.2054,0.005713332477635352,0.156,0.0051315494735994565,1.9368603379726446,0.05260635976523014,3.8384218875909335,0.045879639930781035
70.0,0.1932,0.0055834355015527,0.1642,0.005239052586107471,2.086974450722269,0.05353830412439696,3.8529272307072047,0.04664216805644493
80.0,0.1858,0.005500515612194759,0.1494,0.005041421228185365,2.2396740638297907,0.0522498750451785,3.897471740345676,0.046565195045955576
90.0,0.1818,0.005454333323147616,0.1528,0.00508826414408697,2.340738004385063,0.05185807241868188,3.865213812698912,0.046116669330620634
100.0,0.1842,0.005482159428546365,0.1464,0.004999340756539934,2.4538037796998493,0.05163069414037892,3.9080879823183348,0.04612270032583587
